Batsmen,Matches,Runs,Wickets,Balls,0,4,6,Strike Rate,Average,50,100,High Score
K Ghalley,1,11,0,50,0,1,0,22.0,11.0,0,0,11
Tenzin Wangchuk jnr,1,14,1,26,0,1,0,53.84615384615385,14.0,0,0,14
T Singye,1,5,1,12,0,0,0,41.666666666666664,5.0,0,0,5
LMP Simmons,156,4467,138,5231,19,413,139,85.3947619957943,32.369565217391305,39,3,122
MN Samuels,245,8169,206,12002,11,873,188,68.06365605732378,39.65533980582524,61,18,260
PJ Cummins,56,553,38,781,7,44,17,70.80665813060179,14.552631578947368,0,0,39
Z Khan,109,1069,79,1851,14,118,24,57.752566180443004,13.531645569620252,3,0,57
V Shankar,29,602,18,493,0,40,24,122.10953346855983,33.44444444444444,2,0,63
AU Rashid,57,839,36,1346,2,89,7,62.332838038632985,23.305555555555557,3,0,69
DJ Willey,54,733,41,699,3,48,34,104.86409155937054,17.878048780487806,3,0,79
BJ McCarthy,16,98,12,174,3,9,0,56.32183908045977,8.166666666666666,0,0,18
Swapnil Singh,3,12,3,20,1,0,0,60.0,4.0,0,0,10
R Tewatia,11,102,5,86,0,10,3,118.6046511627907,20.4,0,0,24
M Mupachikwa,20,302,17,500,2,28,1,60.4,17.764705882352942,1,0,62
L Tshuma,13,118,13,324,3,19,0,36.41975308641975,9.076923076923077,0,0,25
CS Mugeri,19,361,15,561,1,33,2,64.34937611408199,24.066666666666666,1,0,51
M Musonda,19,286,15,476,3,33,2,60.08403361344538,19.066666666666666,1,0,65
P Mujaji,16,115,12,236,3,9,0,48.728813559322035,9.583333333333334,0,0,18
SM Mayers,21,430,18,558,2,38,6,77.06093189964157,23.88888888888889,2,0,65
P Marange,16,202,13,245,3,24,4,82.44897959183673,15.538461538461538,0,0,34
J Nkomo,17,208,9,409,0,18,0,50.8557457212714,23.11111111111111,0,0,27
T Granger,8,30,6,101,2,2,0,29.702970297029704,5.0,0,0,12
N Mutasa,9,20,3,65,2,2,0,30.76923076923077,6.666666666666667,0,0,9
N Sibanda,3,2,3,33,1,0,0,6.0606060606060606,0.6666666666666666,0,0,1
L Lee,90,2276,79,2299,12,273,64,98.99956502827317,28.810126582278482,16,1,103
L Wolvaardt,30,1041,21,1623,1,131,0,64.14048059149722,49.57142857142857,8,1,149
T Chetty,69,1687,60,2333,6,158,3,72.31033004714959,28.116666666666667,10,0,90
M du Preez,96,2267,79,2977,4,221,12,76.15048706751763,28.696202531645568,9,0,88
MV Waldron,40,475,33,792,3,54,0,59.974747474747474,14.393939393939394,1,0,55
L Paul,11,141,10,324,0,12,0,43.51851851851852,14.1,0,0,33
L Delany,36,504,32,903,2,39,1,55.81395348837209,15.75,1,0,50
GH Lewis,33,492,28,665,3,60,5,73.98496240601504,17.571428571428573,2,0,71
SM Kavanagh,20,157,17,289,3,14,0,54.325259515570934,9.235294117647058,1,0,53
J Gray,9,111,7,190,0,11,0,58.421052631578945,15.857142857142858,0,0,24
LC Boylan,3,36,2,57,0,5,0,63.1578947368421,18.0,0,0,25
Rachel Delaney,5,57,3,147,0,4,0,38.775510204081634,19.0,0,0,17
L Maritz,7,67,5,109,0,8,0,61.46788990825688,13.4,0,0,26
A Beggs,3,11,3,39,1,1,0,28.205128205128204,3.6666666666666665,0,0,10
DB Sharma,29,703,21,1157,2,79,5,60.76058772687986,33.476190476190474,7,0,89
PG Raut,39,1165,33,1800,3,130,3,64.72222222222223,35.303030303030305,9,1,106
CR Brathwaite,65,1030,52,1102,3,65,57,93.46642468239564,19.807692307692307,4,1,101
M Kapp,74,1273,56,1556,4,97,2,81.81233933161954,22.732142857142858,6,0,72
S Luus,55,1027,37,1431,4,96,9,71.76799440950384,27.756756756756758,7,0,83
N de Klerk,12,148,9,174,2,17,1,85.05747126436782,16.444444444444443,0,0,37
S Ismail,45,290,33,527,7,26,1,55.02846299810247,8.787878787878787,0,0,34
M Klaas,14,46,10,109,6,4,0,42.20183486238532,4.6,0,0,15
M Daniels,13,48,2,95,2,4,0,50.526315789473685,24.0,0,0,11
R Ntozakhe,2,0,1,8,2,0,0,0.0,0.0,0,0,0
